sample,diet,condition,diet_condition,multiplicity (tumours => 2mm),weight,liver,spleen,epi_fat,sub_fat,caecum,largest_tumour,cholesterol (mmol/L),triglyceride,ldl,hdl,non_hdl,fbs_gtt
HS_164T,HS,Tumour,HS_Tumour,1,35.6,1.65,0.09,1,0.6,0.4,3.7,2.86,0.77,0.4,2.11,0.75,11.3
HS_165,HS,Normal,HS_Normal,2,30.53,4.2,0.13,0.29,0.23,0.13,15,8.51,1.01,NA,2.6,NA,8.9
HS_165T,HS,Tumour,HS_Tumour,2,30.53,4.2,0.13,0.29,0.23,0.13,15,8.51,1.01,NA,2.6,NA,8.9
HS_166,HS,Normal,HS_Normal,2,34.15,1.47,0.13,0.86,0.49,0.23,5.2,3.48,0.89,0.55,2.53,0.95,8.2
HS_166T,HS,Tumour,HS_Tumour,2,34.15,1.47,0.13,0.86,0.49,0.23,5.2,3.48,0.89,0.55,2.53,0.95,8.2
HS_167,HS,Normal,HS_Normal,5,32,2.57,0.14,0.49,0.28,0.19,12.5,5.85,0.79,NA,2.6,NA,9.7
HS_167T,HS,Tumour,HS_Tumour,5,32,2.57,0.14,0.49,0.28,0.19,12.5,5.85,0.79,NA,2.6,NA,9.7
HS_178,HS,Normal,HS_Normal,0,34.1,1.41,0.15,0.84,0.59,0.23,NA,3.33,0.78,0.44,2.54,0.79,10
HS_179,HS,Normal,HS_Normal,6,39,NA,0.17,1.34,1.02,0.28,4.5,4.26,0.56,NA,2.6,NA,10.5
HS_179T,HS,Tumour,HS_Tumour,6,39,NA,0.17,1.34,1.02,0.28,4.5,4.26,0.56,NA,2.6,NA,10.5
HS_180,HS,Normal,HS_Normal,2,28.3,1.21,0.17,0.44,0.26,0.7,NA,1.89,0.59,0.48,1.15,0.74,9
HS_180T,HS,Tumour,HS_Tumour,2,28.3,1.21,0.17,0.44,0.26,0.7,NA,1.89,0.59,0.48,1.15,0.74,9
HS_219,HS,Normal,HS_Normal,0,39.6,1.53,0.1,1.58,1.16,0.3,NA,3.11,0.78,0.45,2.3,0.81,10.7
HS_220,HS,Normal,HS_Normal,0,35,1.38,0.1,1.2,0.76,0.26,NA,3.25,0.62,NA,2.6,NA,12.5
HS_220T,HS,Tumour,HS_Tumour,0,35,1.38,0.1,1.2,0.76,0.26,NA,3.25,0.62,NA,2.6,NA,12.5
HS_227,HS,Normal,HS_Normal,1,35.8,1.49,0.08,1.27,0.7,0.23,4.6,3.38,0.64,NA,2.6,NA,11.2
HS_227T,HS,Tumour,HS_Tumour,1,35.8,1.49,0.08,1.27,0.7,0.23,4.6,3.38,0.64,NA,2.6,NA,11.2
HS_228T,HS,Tumour,HS_Tumour,0,32,1.4,0.08,0.87,0.51,0.26,NA,2.43,0.65,0.16,1.98,0.45,11.3
NC_146,NC,Normal,NC_Normal,0,34.4,1.45,0.09,0.88,0.53,0.44,NA,2.86,0.61,2.14,0.44,2.42,13
NC_147,NC,Normal,NC_Normal,0,28.6,0.86,0.12,0.31,0.25,0.41,NA,2.75,0.69,0.35,2.08,0.66,10.4
NC_148,NC,Normal,NC_Normal,0,34.9,1.44,0.1,1.27,0.53,0.47,NA,1.79,0.5,na,1.44,0.35,11.4
NC_149,NC,Normal,NC_Normal,2,30,1.13,0.08,0.77,0.38,0.49,5.4,2.59,0.5,na,2.19,0.4,12.7
NC_149T,NC,Tumour,NC_Tumour,2,30,1.13,0.08,0.77,0.38,0.49,5.4,2.59,0.5,na,2.19,0.4,12.7
NC_160,NC,Normal,NC_Normal,0,30.8,0.94,0.11,0.43,0.31,0.46,NA,1.74,0.5,NA,1.32,0.42,7
NC_161,NC,Normal,NC_Normal,0,29.5,1.32,0.1,0.35,0.29,0.36,NA,2.57,0.57,0.39,1.92,0.66,7.2
NC_162,NC,Normal,NC_Normal,0,31,1.24,0.09,0.47,0.33,NA,NA,2.51,0.69,0.47,1.73,0.79,6.9
NC_174,NC,Normal,NC_Normal,,24.7,0.8,0.06,0.21,0.32,0.58,NA,1.72,0.79,0.29,1.07,0.65,5.2
NC_175,NC,Normal,NC_Normal,1,33.8,1.44,0.1,0.81,0.39,0.65,4.4,2.63,0.64,0.55,1.8,0.84,9.5
NC_175T,NC,Tumour,NC_Tumour,1,33.8,1.44,0.1,0.81,0.39,0.65,4.4,2.63,0.64,0.55,1.8,0.84,9.5
NC_176,NC,Normal,NC_Normal,0,30.7,1.31,0.08,0.56,0.32,0.51,NA,2.52,0.58,0.35,1.91,0.62,12.8
NC_188,NC,Normal,NC_Normal,0,29.1,1.32,0.145,0.44,0.27,0.58,NA,2.83,0.5,NA,2.43,0.4,9.4
NC_188T,NC,Tumour,NC_Tumour,0,29.1,1.32,0.145,0.44,0.27,0.58,NA,2.83,0.5,NA,2.43,0.4,9.4
NC_189,NC,Normal,NC_Normal,2,28.7,1.36,0.16,0.26,0.22,0.45,4.2,2.68,0.56,0.47,1.95,0.73,9.4
NC_189T,NC,Tumour,NC_Tumour,2,28.7,1.36,0.16,0.26,0.22,0.45,4.2,2.68,0.56,0.47,1.95,0.73,9.4
NC_190,NC,Normal,NC_Normal,2,26,1.33,0.13,0.48,0.36,0.37,NA,2.64,0.53,0.49,1.91,0.73,8.9
