"Sample","SVAFactor.1","SVAFactor.2","SVAFactor.3","SVAFactor.4","SVAFactor.5","SVAFactor.6","SVAFactor.7","SVAFactor.8"
"X3997",0.117275172362196,0.0577919014941511,0.127376611725949,0.16479899878324,0.222051586396348,0.122043387004622,-0.264783086291302,-0.118162530435488
"X3998",0.155562812903444,0.229089879408732,0.550098916413838,-0.112197035713097,0.16192303972817,0.476271753619959,0.265447304427665,0.194641057023602
"X4000",0.0233590069075541,0.112792605584804,-0.12376405391085,0.156818443251332,0.107261919581243,-0.0978517494588599,0.00983634466928068,0.0314526132948753
"X4002",0.0397359176518547,0.0823049151302717,-0.0793102242682592,0.15650651221079,0.0665454714269285,-0.151195690125832,0.0837778948180288,-0.00788437389568339
"X4004",-0.0237987316137077,0.111080266323581,-0.126801919645372,-0.0164233891795101,0.188139528211268,-0.125733957502265,0.0460571738012896,0.0720337467585885
"X4005",0.0545545974021352,0.0921183868631674,0.175821958422427,-0.113859283080778,-0.0641399280127181,-0.18515859674317,0.000367383954469712,0.0963520006597123
"X4006",-0.137112538716947,0.524326363999639,-0.348789323210305,-0.210020049588429,-0.161471586967726,0.499526549275595,-0.25095643595688,-0.0136960251591121
"X4007",0.0120233221189357,0.0764245350650908,-0.110251594491888,-0.00801507971532653,0.227473480711218,-0.166713648292274,-0.0158722704518878,0.0690610394717679
"X4008",0.124437691529138,0.0284691398192457,0.106757936004292,-0.0721308683916819,0.232901601341397,-0.146216680114465,-0.172211622839714,0.345089533267451
"X4010",0.158549749411834,0.0139619962931054,0.084424864395441,0.153745230593402,0.0863518386869258,-0.1310033904676,-0.330177676883681,0.270088486207809
