"Sample","SVAFactor.1","SVAFactor.2","SVAFactor.3","SVAFactor.4","SVAFactor.5","SVAFactor.6","SVAFactor.7","SVAFactor.8","SVAFactor.9"
"X0883",-0.181582550521276,0.127512923512486,-0.0271084998841498,-0.132796930209732,-0.0693934840711455,4.58592660797508e-05,0.0295986141774551,-0.0580026217040643,0.0144762329777297
"X0885",0.0660769371564208,0.0180925302188781,0.0822478962899555,0.0503599718766699,-0.338188742773669,-0.0868604078599821,-0.0702547251849366,0.113928178264651,0.105539714835674
"X0886",0.0307485716536792,-0.0065454096429504,-0.145819259956001,-0.0292940418453628,-0.0545495792826068,-0.0100862188291074,-0.101688625276434,-0.136305271653659,-0.0162051560169974
"X0887",-0.0882850969129107,0.0391481087023761,0.29904632492391,-0.0292330828020312,-0.0528189766147002,0.0324927108028254,0.0322610543610449,0.137242911858602,0.135709140014372
"X0888",-0.119678172253247,0.0956249414768843,0.0227770006872655,-0.269414111275432,0.0206747013276497,-0.140598064133217,0.032329713422931,-0.0525637766289574,0.299926326039173
"X0889",-0.0729916600705147,0.134720972301367,0.102747443871867,0.0160194710815197,-0.127711609950303,-0.0648110766490039,0.0343267105152303,-0.143126318678818,0.109250962466211
"X0890",-0.150075850725899,0.12436888634524,0.189206082349655,-0.102361633299627,-0.1087639638809,-0.0853101201363021,-0.005400804838055,-0.00901349210932784,0.0407347617626512
"X0891",-0.102641881389782,0.143594258995591,0.0482049378358175,-0.104831052427938,-0.0418141724023692,-0.143668596431451,-0.0215314635543347,-0.167505115795067,0.180486851907146
"X0892",-0.177786386655205,0.159868532989718,-0.0521413315927823,-0.166789729628629,0.0295931250775528,-0.0418303490899867,0.078259137976199,-0.14740068331583,-0.0290870481868423
"X0893",-0.0109273820404511,0.125797229702399,0.0739326812776407,0.0764372228676688,-0.135171655796759,-0.215798856197921,-0.0875089373364171,0.0822994346051947,0.0578044797968494
"X0894",0.329665512681125,-0.290209234328367,0.181252610713541,0.0412579998829391,0.101501267050164,-0.0558367790837181,-0.00236566055048734,-0.0822797299224003,-0.0186921248840775
"X0896",0.16193988900626,-0.0713331516243263,-0.163169341327215,-0.0635667473640211,-0.174313069516706,0.0098567084744708,0.0107347989875859,-0.0719244183328986,0.0642997178854319
"X0897",0.13304335801563,-0.0348758686909053,0.0299094418982104,0.109200256071147,-0.146781429002479,-0.00197436959745804,-0.00282057393883924,0.0915937994206917,0.127071177690635
