"Sample","PrincipalComponent.1","PrincipalComponent.2","PrincipalComponent.3","PrincipalComponent.4"
"SA499756",0.0119594615342289,0.0382948781211328,-0.149284565392583,-0.0284471835072347
"SA499797",0.0730755009557451,0.0730076376760811,-0.0248836107067337,0.0474074393956491
"SA530199",-0.0810681537770536,0.0190341389868729,-0.0807489256744217,-0.0768169949904778
"SA499830",-0.0107640283258283,0.00903596300415549,0.108006980232601,0.0966351768661492
"SA530082",-0.00817648165416203,-0.00487950876516894,-0.0702127432805481,0.117429182221445
"SA530102",-0.107500868177956,-0.107185993621795,-0.0334999386296802,0.05577756707692
"SA530108",-0.103223649816227,0.0430832818587906,-0.0327813281872314,-0.0223894447577682
"SA530118",-0.065670020166028,-0.178858923016825,-0.243910174875491,0.111722466425349
"SA530123",0.0395699815591813,-0.111964951173712,-0.0430536878821353,0.0202924973724313
"SA530147",0.00420527911696046,-0.102544436666535,-0.0202525819712116,0.0752331496494497
"SA529984",0.0988680330133988,0.130270813913045,-0.0962727470060612,-0.0546356488237719
"SA529991",-0.0653935804719677,0.0479637291614903,-0.168582133768991,-0.0269184506069624
"SA601459",0.105935970528571,0.0369068363387672,0.108002063870329,0.15762920782236
"SA601461",0.0418588703293686,-0.101710000364728,0.0664145504427824,0.0913863460911119
"SA601468",0.0404212045835882,-0.0175696187363006,0.14382048139478,0.0559040183185551
"SA601473",0.0260446492005693,-0.0268048399840815,-0.108386315602555,-0.100410848193279
"SA601478",0.076084880006881,-0.0961078674583245,0.103706486656132,-0.0699475203057952
"SA601482",-0.0207247901841471,-0.054027083480945,0.0210568631760883,-0.00918276800432185
"SA601484",-0.0882038368173329,-0.0438479062153424,-0.0910384991619983,0.0222132591808178
"SA601488",-0.0374955768651552,-0.159135871584171,-0.0158285338997746,-0.0296353264344407
"SA601495",-0.0530690156996845,-0.105742328390041,-0.147418185012729,-0.063117744014546
"SA601503",-0.11089936498232,-0.0524780099653394,0.100060656775074,0.0443656037297219
"SA601508",0.202873847220795,-0.139350876071828,0.00163857608515017,-0.0705731632450306
"SA601513",0.144687319767269,-0.130755546090113,0.0889646359689079,0.0173419032934223
"SA601519",0.00248684898394485,-0.0591434739136448,-0.0289567225732682,0.0725853469929474
"SA601523",0.0783451655796212,-0.177155052969264,0.051707940091673,0.108417057077696
"SA601526",0.0185272676071895,-0.177529201709895,-0.0460312681942558,-0.0958756532596321
"SA601533",-0.0630671631478883,-0.108696879856971,-0.0513014179230829,-0.17109127633299
"SA601537",0.0485104676568937,-0.142279286242182,0.0728347390573946,0.0421870886577038
"SA601543",0.139255627937897,-0.0642919784609558,-0.0100647445911453,-0.128800667194296
"SA499698",0.0321208819343174,0.0341173744786303,0.136277129810373,-0.181695954635329
"SA529889",0.0122069529171426,0.134939971537457,0.21087308443573,-0.0774079121756474
"SA530144",0.0503285553099657,0.214529212747015,-0.0738288226023509,0.15340500886418
"SA601371",0.0348773393753967,0.129370723402523,0.124093933128449,0.0555776950436409
"SA529871",-0.0202840535261045,-0.0638310218289462,-0.144532510570017,-0.0857012271960993
"SA601374",-0.0290444765176379,-0.057157779156669,-0.0560778221082462,-0.125850182947464
"SA529907",-0.130950726506994,-0.030946356744653,0.0604230361056997,0.0690787519515045
"SA529955",-0.0900558821130427,0.0210569367958405,-0.0388103727232627,0.0756831561076948
"SA530031",-0.00406881828711131,-0.0311319015394976,-0.0563895837075352,-0.122150007491639
"SA601377",0.00444049412268055,0.031400330186728,-0.0166318032569696,0.21013623811998
"SA530077",-0.0616004349606214,0.171965623507802,0.0192445086148769,0.0344389760490054
"SA530133",0.0481485140059179,0.135362870372655,-0.0672427285095824,0.0482300795188387
"SA601450",-0.100235494918804,0.0862540713357365,-0.0930242189211086,-0.00121118395916324
"SA601452",0.0122189996839951,0.067582503440729,-0.0856374843845279,0.0914262681264354
"SA601456",0.0665130819297751,-0.00864960952157813,-0.0851987128209004,0.0871775415423475
"SA601547",0.0969619674430759,0.0682056758024887,-0.0101416559328082,-0.00662958928972238
"SA601550",0.0714810964716163,0.0528730788629282,0.0562931398124235,-0.0385752500337646
"SA601554",0.103156049831349,0.0782752229693479,0.0174180403491657,0.0967850747245821
"SA601557",-0.0451698915347413,0.121092653452506,-0.0614677172032438,-0.0882478718252021
"SA601364",0.0575472568187265,0.111348440262325,0.0659679186498296,-0.00301240716115444
"SA601560",0.028069014427705,0.100891493809019,-0.0519385540409221,-0.00247397558067959
"SA601567",0.154870719168143,-0.00220650237370379,0.0484725953990974,-0.0671432076065847
"SA601571",0.0695620293030891,-0.183042746004008,0.0692597278905142,-0.117563803994965
"SA601573",0.0697224093411836,0.00267436033858297,0.0775396357956225,0.030983843537526
"SA601583",-0.0856283192530942,0.0412954797999503,0.0476618751217739,-0.0652748230664036
"SA601587",0.0360123134200455,0.0563666127977569,0.122337682910865,-0.121155472403661
"SA601589",0.00769155270565439,0.0631426355748573,0.060655510665286,-0.198127163439867
"SA601593",-0.122199126557366,0.0207520549119082,0.169643569312387,-0.0781563094434585
"SA601595",-0.0515308524354776,0.0375696461769597,0.0379490637786683,-0.118637187058744
"SA601352",0.0172832862561832,0.124825704777325,-0.162645473275307,-0.0159216466520802
